Episode Reward: -4900.0, Episode Length: 49
Episode Reward: -1700.0, Episode Length: 17
Episode Reward: -1800.0, Episode Length: 18
Episode Reward: -3500.0, Episode Length: 35
Episode Reward: -1500.0, Episode Length: 15
Episode Reward: -1400.0, Episode Length: 14
Episode Reward: -2100.0, Episode Length: 21
Episode Reward: -5900.0, Episode Length: 59
Episode Reward: -2300.0, Episode Length: 23
Episode Reward: -3600.0, Episode Length: 36
Episode Reward: -1400.0, Episode Length: 14
Episode Reward: -1900.0, Episode Length: 19
Episode Reward: -4500.0, Episode Length: 45
Episode Reward: -12000.0, Episode Length: 120
Episode Reward: -2600.0, Episode Length: 26
Episode Reward: -1500.0, Episode Length: 15
Episode Reward: -2700.0, Episode Length: 27
Episode Reward: -2800.0, Episode Length: 28
Episode Reward: -1700.0, Episode Length: 17
Episode Reward: -4200.0, Episode Length: 42
Episode Reward: -4000.0, Episode Length: 40
Episode Reward: -5700.0, Episode Length: 57
Episode Reward: -2700.0, Episode Length: 27
Episode Reward: -1400.0, Episode Length: 14
Episode Reward: -1400.0, Episode Length: 14
Episode Reward: -2500.0, Episode Length: 25
Episode Reward: -2600.0, Episode Length: 26
Episode Reward: -1400.0, Episode Length: 14
Episode Reward: -1200.0, Episode Length: 12
Episode Reward: -1900.0, Episode Length: 19
Episode Reward: -2200.0, Episode Length: 22
Episode Reward: -2600.0, Episode Length: 26
Episode Reward: -3500.0, Episode Length: 35
Episode Reward: -2700.0, Episode Length: 27
Episode Reward: -2000.0, Episode Length: 20
Episode Reward: -2600.0, Episode Length: 26
Episode Reward: -2700.0, Episode Length: 27
Episode Reward: -3000.0, Episode Length: 30
Episode Reward: -1000.0, Episode Length: 10
Episode Reward: -2600.0, Episode Length: 26
Episode Reward: -3600.0, Episode Length: 36
Episode Reward: -1400.0, Episode Length: 14
Episode Reward: -2100.0, Episode Length: 21
Episode Reward: -2500.0, Episode Length: 25
Episode Reward: -2300.0, Episode Length: 23
Episode Reward: -1300.0, Episode Length: 13
Episode Reward: -4600.0, Episode Length: 46
Episode Reward: -5500.0, Episode Length: 55
Episode Reward: -1800.0, Episode Length: 18
Episode Reward: -1300.0, Episode Length: 13
Episode Reward: -1500.0, Episode Length: 15
Episode Reward: -1200.0, Episode Length: 12
Episode Reward: -2900.0, Episode Length: 29
Episode Reward: -3200.0, Episode Length: 32
Episode Reward: -2300.0, Episode Length: 23
Episode Reward: -9800.0, Episode Length: 98
Episode Reward: -2800.0, Episode Length: 28
Episode Reward: -1900.0, Episode Length: 19
Episode Reward: -3600.0, Episode Length: 36
Episode Reward: -2000.0, Episode Length: 20
Episode Reward: -4600.0, Episode Length: 46
Episode Reward: -1600.0, Episode Length: 16
Episode Reward: -2500.0, Episode Length: 25
Episode Reward: -1400.0, Episode Length: 14
Episode Reward: -2200.0, Episode Length: 22
Episode Reward: -2200.0, Episode Length: 22
Episode Reward: -2400.0, Episode Length: 24
Episode Reward: -2800.0, Episode Length: 28
Episode Reward: -3400.0, Episode Length: 34
